   ________________________________________________________________________________

                               Parametric study: press2
   ________________________________________________________________________________

              C10,            D1,             h,         VDISP,         FORCE,
   ________________________________________________________________________________

          1.5e+06,         5e-07,     0.0001862,     0.0001862,       215.651,
      1.66667e+06,         5e-07,     0.0001862,     0.0001862,       235.057,
      1.83333e+06,         5e-07,     0.0001862,     0.0001862,       253.955,
            2e+06,         5e-07,     0.0001862,     0.0001862,       272.318,
      2.16667e+06,         5e-07,     0.0001862,     0.0001862,       289.713,
      2.33333e+06,         5e-07,     0.0001862,     0.0001862,       306.744,
          2.5e+06,         5e-07,     0.0001862,     0.0001862,       323.324,
          1.5e+06,       7.5e-07,     0.0001862,     0.0001862,       198.858,
      1.66667e+06,       7.5e-07,     0.0001862,     0.0001862,       215.549,
      1.83333e+06,       7.5e-07,     0.0001862,     0.0001862,       231.608,
            2e+06,       7.5e-07,     0.0001862,     0.0001862,       247.059,
      2.16667e+06,       7.5e-07,     0.0001862,     0.0001862,       260.995,
      2.33333e+06,       7.5e-07,     0.0001862,     0.0001862,       274.336,
          2.5e+06,       7.5e-07,     0.0001862,     0.0001862,       287.123,
          1.5e+06,         1e-06,     0.0001862,     0.0001862,       185.294,
      1.66667e+06,         1e-06,     0.0001862,     0.0001862,        199.13,
      1.83333e+06,         1e-06,     0.0001862,     0.0001862,        212.19,
            2e+06,         1e-06,     0.0001862,     0.0001862,       224.546,
      2.16667e+06,         1e-06,     0.0001862,     0.0001862,       236.262,
      2.33333e+06,         1e-06,     0.0001862,     0.0001862,       247.264,
          2.5e+06,         1e-06,     0.0001862,     0.0001862,       257.554,
          1.5e+06,      1.25e-06,     0.0001862,     0.0001862,       172.274,
      1.66667e+06,      1.25e-06,     0.0001862,     0.0001862,       184.383,
      1.83333e+06,      1.25e-06,     0.0001862,     0.0001862,       195.688,
            2e+06,      1.25e-06,     0.0001862,     0.0001862,       206.044,
      2.16667e+06,      1.25e-06,     0.0001862,     0.0001862,       215.786,
      2.33333e+06,      1.25e-06,     0.0001862,     0.0001862,       224.981,
          2.5e+06,      1.25e-06,     0.0001862,     0.0001862,       233.685,
          1.5e+06,       1.5e-06,     0.0001862,     0.0001862,       161.267,
      1.66667e+06,       1.5e-06,     0.0001862,     0.0001862,       171.703,
      1.83333e+06,       1.5e-06,     0.0001862,     0.0001862,       181.389,
            2e+06,       1.5e-06,     0.0001862,     0.0001862,       190.432,
      2.16667e+06,       1.5e-06,     0.0001862,     0.0001862,       198.911,
      2.33333e+06,       1.5e-06,     0.0001862,     0.0001862,        206.89,
          2.5e+06,       1.5e-06,     0.0001862,     0.0001862,       214.426,
          1.5e+06,         5e-07,     0.0002243,     0.0002243,       249.563,
      1.66667e+06,         5e-07,     0.0002243,     0.0002243,       272.084,
      1.83333e+06,         5e-07,     0.0002243,     0.0002243,       294.022,
            2e+06,         5e-07,     0.0002243,     0.0002243,       315.366,
      2.16667e+06,         5e-07,     0.0002243,     0.0002243,       335.613,
      2.33333e+06,         5e-07,     0.0002243,     0.0002243,       355.455,
          2.5e+06,         5e-07,     0.0002243,     0.0002243,       374.789,
          1.5e+06,       7.5e-07,     0.0002243,     0.0002243,       230.397,
